teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,inPersonMeetingHoursAverage,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingDeliverablesHoursAverage,averageResponsesByWeek,averageMeetingHoursTotalByWeek,averageNonCodingDeliverablesHoursTotalByWeek,averageResponsesByStudent,averageMeetingHoursTotalByStudent,averageInPersonMeetingHoursTotalByStudent,lateIssueCount,Level
1.0,1.0,2.0,2.0,2.0,6.0,6.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,2.0,2.0,0.0,2
1.0,3.0,9.714286,3.238095,2.095238,4.571429,1.52381,0.942809,1.714286,0.571429,3.0,9.714286,4.571429,1.0,3.238095,2.095238,0.0,1
1.0,3.0,4.0,1.333333,1.142857,6.285715,2.095238,0.471405,1.714286,0.571429,3.0,4.0,6.285715,1.0,1.333333,1.142857,0.0,2
0.0,1.0,2.0,2.0,1.0,1.5,1.5,0.0,0.0,0.0,1.0,2.0,1.5,1.0,2.0,1.0,0.0,1
0.0,3.0,11.0,3.666667,1.666667,23.0,7.6666669999999995,3.771236,9.0,3.0,3.0,11.0,23.0,1.0,3.666667,1.666667,0.0,1
0.0,7.0,10.285715,1.469388,1.469388,8.571429,1.2244899999999999,1.2454,0.857143,0.122449,7.0,10.285715,8.571429,1.1667,1.714286,1.714286,0.0,1
0.0,9.0,13.714285999999998,1.52381,1.333333,10.0,1.111111,1.1166530000000001,28.57143,3.174603,9.0,13.714285999999998,10.0,1.2857,1.959184,1.714286,0.0,1
0.0,10.0,17.142858,1.714286,1.4285709999999998,16.000001,1.6,1.6,2.285714,0.228571,10.0,17.142858,16.000001,1.6667,2.857143,2.380952,0.0,1
0.0,8.0,9.714286,1.214286,0.785714,8.0,1.0,0.661438,4.0,0.5,8.0,9.714286,8.0,1.3333,1.619048,1.047619,0.0,1
1.0,3.0,4.571429,1.52381,0.571429,2.0,0.666667,0.62361,0.0,0.0,3.0,4.571429,2.0,1.0,1.52381,0.571429,0.0,2
0.0,11.0,22.142858,2.012987,1.883117,23.571429000000002,2.142857,1.537412,6.071429,0.551948,11.0,22.142858,23.571429000000002,1.8333,3.6904760000000003,3.452381,0.0,1
0.0,3.0,3.571429,1.190476,1.0714290000000002,4.821429,1.607143,1.2747549999999999,2.857143,0.9523809999999999,3.0,3.571429,4.821429,1.0,1.190476,1.0714290000000002,0.0,2
0.0,6.0,16.428572,2.738095,2.5,14.285715,2.380952,2.134375,3.571429,0.595238,6.0,16.428572,14.285715,1.2,3.285714,3.0,0.0,1
0.0,6.0,6.428572,1.0714290000000002,1.190476,8.571429,1.4285709999999998,1.154701,2.142857,0.357143,6.0,6.428572,8.571429,1.2,1.285714,1.4285709999999998,0.0,1
0.0,8.0,20.714285999999998,2.589286,2.589286,18.571429000000002,2.321429,1.870829,0.0,0.0,8.0,20.714285999999998,18.571429000000002,1.6,4.142857,4.142857,0.0,2
0.0,6.0,8.571429,1.4285709999999998,1.4285709999999998,8.285714,1.380952,1.213352,5.214286,0.8690479999999999,6.0,8.571429,8.285714,1.2,1.714286,1.714286,0.0,1
0.0,4.0,6.785714,1.6964290000000002,1.607143,12.5,3.125,2.7698150000000004,3.571429,0.892857,4.0,6.785714,12.5,1.0,1.6964290000000002,1.607143,0.0,1
1.0,3.0,4.285714,1.4285709999999998,1.190476,4.285714,1.4285709999999998,0.0,1.785714,0.595238,3.0,4.285714,4.285714,1.0,1.4285709999999998,1.190476,0.0,2
0.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2
0.0,1.0,2.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,1.0,0.0,2
1.0,1.0,1.0,1.0,1.0,45.0,45.0,0.0,1.0,1.0,1.0,1.0,45.0,1.0,1.0,1.0,0.0,2
0.0,11.0,21.142858,1.922078,0.9870129999999999,23.428572,2.12987,3.3868970000000003,6.285715,0.571429,11.0,21.142858,23.428572,1.5714,3.020408,1.55102,0.0,1
0.0,11.0,13.714285999999998,1.246753,0.571429,14.857144,1.350649,1.493789,2.857143,0.25974,11.0,13.714285999999998,14.857144,1.5714,1.959184,0.8979590000000001,0.0,2
0.0,9.0,12.571429,1.396825,0.920635,29.142858,3.238095,8.75595,0.0,0.0,9.0,12.571429,29.142858,1.2857,1.7959180000000001,1.183674,0.0,1
1.0,3.0,5.428572,1.8095240000000001,0.9523809999999999,10.857142999999999,3.6190480000000003,4.0276819999999995,4.571429,1.52381,3.0,5.428572,10.857142999999999,1.0,1.8095240000000001,0.9523809999999999,0.0,2
0.0,5.0,10.714286,2.142857,1.714286,7.5,1.5,1.113553,2.142857,0.428571,5.0,10.714286,7.5,1.0,2.142857,1.714286,0.0,1
0.0,3.0,7.857142999999999,2.619048,1.9047619999999998,7.142857000000001,2.380952,0.942809,1.4285709999999998,0.47618999999999995,3.0,7.857142999999999,7.142857000000001,1.0,2.619048,1.9047619999999998,0.0,2
0.0,2.0,4.285714,2.142857,2.142857,5.0,2.5,0.5,1.4285709999999998,0.714286,2.0,4.285714,5.0,1.0,2.142857,2.142857,0.0,2
0.0,6.0,10.5,1.75,1.392857,14.285715,2.380952,2.494438,7.857142999999999,1.309524,6.0,10.5,14.285715,1.0,1.75,1.392857,0.0,1
0.0,4.0,9.285715,2.321429,2.321429,10.0,2.5,2.692582,0.0,0.0,4.0,9.285715,10.0,1.0,2.321429,2.321429,0.0,2
0.0,5.0,11.428572,2.285714,2.142857,8.571429,1.714286,0.8,0.0,0.0,5.0,11.428572,8.571429,1.0,2.285714,2.142857,0.0,2
0.0,10.0,23.285715,2.3285709999999997,2.0142860000000002,20.857143,2.085714,3.494281,4.142857,0.414286,5.0,11.642857000000001,10.428572,2.0,4.657143,4.0285720000000005,0.0,1
0.0,10.0,10.714286,1.0714290000000002,0.8714290000000001,9.857142999999999,0.985714,0.9,8.571429,0.857143,5.0,5.357143,4.928572,2.0,2.142857,1.7428569999999999,0.0,1
0.0,11.0,11.642857000000001,1.058442,0.746753,9.0,0.818182,1.133633,6.0,0.545455,5.5,5.821429,4.5,2.2,2.3285709999999997,1.642857,0.0,1
0.0,12.0,35.357143,2.946429,2.113095,43.642857,3.6369050000000005,3.454817,3.857143,0.321429,6.0,17.678570999999998,21.821429000000002,2.0,5.892857,4.22619,0.0,2
0.0,12.0,27.1,2.2583330000000004,1.60119,22.428570999999998,1.869048,0.8858450000000001,5.142857,0.428571,6.0,13.55,11.214286,2.0,4.516667,3.202381,0.0,2
1.0,2.0,6.428572,3.214286,1.785714,7.857142999999999,3.928572,1.5,0.0,0.0,2.0,6.428572,7.857142999999999,1.0,3.214286,1.785714,0.0,1
0.0,12.0,10.0,0.833333,0.690476,12.285715,1.02381,1.233221,10.142857000000001,0.8452379999999999,6.0,5.0,6.142857,2.0,1.666667,1.380952,0.0,2
0.0,10.0,10.357142999999999,1.035714,0.8857139999999999,11.285715,1.128571,1.0,2.571429,0.257143,5.0,5.178572,5.642857,2.0,2.071429,1.7714290000000001,0.0,1
0.0,10.0,12.0,1.2,1.057143,11.357142999999999,1.135714,1.273774,1.857143,0.18571400000000002,5.0,6.0,5.678572,2.0,2.4,2.114286,0.0,1
0.0,10.0,10.0,1.0,0.714286,15.0,1.5,2.147091,2.142857,0.214286,5.0,5.0,7.5,2.0,2.0,1.4285709999999998,0.0,1
0.0,10.0,6.5,0.65,0.5785710000000001,10.714286,1.0714290000000002,2.098214,10.428572,1.042857,5.0,3.25,5.357143,2.0,1.3,1.157143,0.0,1
0.0,10.0,10.428572,1.042857,0.685714,14.0,1.4,2.197868,8.357142999999999,0.835714,5.0,5.214286,7.0,2.0,2.085714,1.371429,0.0,1
0.0,9.0,11.285714,1.253968,0.992064,11.5,1.277778,1.7950549999999998,9.0,1.0,4.5,5.642857,5.75,1.8,2.257143,1.785714,0.0,1
0.0,12.0,19.857143,1.6547619999999998,1.244048,15.142857000000001,1.2619049999999998,0.8975270000000001,6.857142999999999,0.571429,6.0,9.928571,7.571428999999999,2.0,3.3095239999999997,2.488095,0.0,1
0.0,12.0,37.214286,3.1011900000000003,2.0,26.285714000000002,2.190476,1.7677669999999999,11.142857000000001,0.9285709999999999,6.0,18.607143,13.142857000000001,2.0,6.202381,4.0,0.0,1
0.0,14.0,31.785714000000002,2.270408,1.882653,22.428570999999998,1.602041,0.772618,0.428571,0.030612,7.0,15.892857000000001,11.214286,2.0,4.540816,3.765306,0.0,1
1.0,6.0,10.428571,1.7380950000000002,1.619048,10.071429,1.6785709999999998,1.0704360000000002,18.285714000000002,3.047619,3.0,5.214286,5.035714,2.0,3.4761900000000003,3.238095,0.0,1
0.0,8.0,14.571429,1.8214290000000002,1.151786,16.0,2.0,1.870829,0.428571,0.053571,4.0,7.285714,8.0,2.0,3.642857,2.303571,0.0,1
0.0,12.0,19.928570999999998,1.660714,1.255952,22.071429000000002,1.839286,1.180719,3.285714,0.27381,6.0,9.964286,11.035714,2.0,3.321429,2.511905,0.0,1
0.0,11.0,23.714285999999998,2.1558439999999996,1.636364,21.357143,1.9415580000000001,1.2678479999999999,1.4285709999999998,0.12987,5.5,11.857142999999999,10.678571,1.8333,3.952381,3.0,0.0,1
0.0,9.0,28.285714000000002,3.142857,1.484127,19.357143,2.150794,2.290614,8.142857000000001,0.9047620000000001,4.5,14.142857000000001,9.678571,1.8,5.657143,2.6714290000000003,0.0,1
0.0,10.0,18.571429000000002,1.857143,1.014286,18.871429,1.887143,1.18072,4.428571,0.44285699999999995,5.0,9.285714,9.435714,2.0,3.714286,2.028571,0.0,1
0.0,12.0,16.178570999999998,1.348214,0.8392860000000001,12.214286,1.017857,0.9816020000000001,4.714286,0.392857,6.0,8.089286,6.107143,2.0,2.696429,1.6785709999999998,0.0,2
1.0,6.0,6.785714,1.130952,0.738095,19.714285999999998,3.285714,4.068852,0.0,0.0,3.0,3.392857,9.857142999999999,2.0,2.261905,1.47619,0.0,1
1.0,2.0,2.857143,1.4285709999999998,1.4285709999999998,14.285715,7.142857000000001,8.0,0.0,0.0,2.0,2.857143,14.285715,1.0,1.4285709999999998,1.4285709999999998,0.0,2
0.0,11.0,22.285715,2.025974,1.766234,16.214285999999998,1.474026,2.829158,10.571429,0.961039,5.5,11.142857000000001,8.107142999999999,2.2,4.457143,3.885714,0.0,1
1.0,2.0,2.857143,1.4285709999999998,0.714286,5.0,2.5,0.5,1.4285709999999998,0.714286,2.0,2.857143,5.0,1.0,1.4285709999999998,0.714286,0.0,1
0.0,10.0,10.714286,1.0714290000000002,0.9285709999999999,12.428572,1.2428569999999999,2.491987,4.0,0.4,5.0,5.357143,6.214286,2.0,2.142857,1.857143,0.0,1
0.0,10.0,8.785714,0.8785709999999999,0.475,6.642857000000001,0.6642859999999999,0.867468,3.0,0.3,5.0,4.392857,3.321429,2.0,1.7571430000000001,0.95,0.0,1
0.0,10.0,16.535714000000002,1.653571,1.328571,10.714286,1.0714290000000002,0.7071069999999999,2.428571,0.24285700000000002,5.0,8.267857000000001,5.357143,2.0,3.307143,2.657143,0.0,1
0.0,12.0,18.285714000000002,1.52381,1.184524,20.357143,1.6964290000000002,1.345646,2.571429,0.214286,6.0,9.142857000000001,10.178571,2.0,3.047619,2.369048,0.0,1
1.0,6.0,10.0,1.666667,1.5,6.0,1.0,0.942809,2.714286,0.45238100000000003,3.0,5.0,3.0,2.0,3.333333,3.0,0.0,1
